apk_name,metrics_type,TP,FP,TN,FN,Precision,Recall,F1_score,Time
com.appmindlab.nano,Layer1,7204,18436,2128,0,0.281,1,0.4387,6652.1831
d.d.meshenger,Layer1,6337,16218,1983,0,0.281,1,0.4387,14407.4259
hu.vmiklos.plees,Layer1,6635,17016,937,0,0.2805,1,0.4382,18215.409
org.woheller69.PeakOrama,Layer1,5472,14035,1373,0,0.2805,1,0.4381,22890.4666
de.monocles.browser,Layer1,6683,17164,902,0,0.2802,1,0.4378,16318.7158
org.jshobbysoft.cameraalign,Layer1,6453,16577,1536,0,0.2802,1,0.4377,21060.2233
org.wbftw.weil.passwordgenerator,Layer1,6253,16086,774,0,0.2799,1,0.4374,22775.7635
com.stoutner.privacybrowser.standard,Layer1,6612,17093,806,0,0.2789,1,0.4362,13144.2702
com.sbv.linkdroid,Layer1,6527,16908,422,0,0.2785,1,0.4357,12374.7174
de.micmun.android.nextcloudcookbook,Layer1,7821,20376,4995,0,0.2774,1,0.4343,15541.8274
org.woheller69.browser,Layer1,6065,16010,1415,0,0.2747,1,0.4311,23045.2834
yetzio.yetcalc,Layer1,6628,17562,1063,0,0.274,1,0.4301,24623.5965
de.markusfisch.android.shadereditor,Layer1,6363,16969,2714,0,0.2727,1,0.4286,15335.754
com.dessalines.thumbkey,Layer1,13248,35427,2884,0,0.2722,1,0.4279,8473.7252
io.github.exclude0122.xivpn,Layer1,6708,18064,1714,0,0.2708,1,0.4262,18778.6242
io.keepalive.android,Layer1,6590,17929,1894,0,0.2688,1,0.4237,19214.7056
alt.nainapps.aer,Layer1,5637,15402,1307,0,0.2679,1,0.4226,54.1787
com.minar.birday,Layer1,7516,20540,2491,0,0.2679,1,0.4226,11136.9835
livio.rssreader,Layer1,6256,17106,1737,0,0.2678,1,0.4224,19340.5511
org.woheller69.spritpreise,Layer1,6814,18685,1855,0,0.2672,1,0.4217,23357.4525
de.chaosdorf.meteroid,Layer1,6483,18004,1360,0,0.2648,1,0.4187,14585.5815
com.fmsys.snapdrop,Layer1,6729,18763,1207,0,0.264,1,0.4177,9295.6658
com.pcinpact,Layer1,6849,19128,857,0,0.2637,1,0.4173,11661.9739
com.encrypt.bwt,Layer1,6576,18409,608,0,0.2632,1,0.4167,8711.2438
org.totschnig.ocr.tesseract,Layer1,5979,16783,1203,0,0.2627,1,0.4161,22649.969
me.haroldmartin.golwallpaper,Layer1,5671,16099,1470,0,0.2605,1,0.4133,19473.4624
org.woheller69.whobird,Layer1,6227,17761,693,0,0.2596,1,0.4122,23589.4461
org.secuso.privacyfriendlytodolist,Layer1,6610,19039,1213,0,0.2577,1,0.4098,22426.5773
me.x2gd4.dollphone,Layer1,7156,20801,2289,0,0.256,1,0.4076,19799.3189
com.mustafacanyucel.fireflyiiishortcuts,Layer1,6729,19635,1645,0,0.2552,1,0.4067,11349.0697
com.starry.myne,Layer1,13278,38771,3758,0,0.2551,1,0.4065,13085.8075
de.arnowelzel.android.periodical,Layer1,7050,20742,1638,0,0.2537,1,0.4047,14471.0838
app.easy.launcher,Layer1,7035,20883,1450,0,0.252,1,0.4025,1352.4997
app.fluffy,Layer1,13731,41209,4150,0,0.2499,1,0.3999,2114.6599
com.antony.muzei.pixiv,Layer1,6815,20503,2078,0,0.2495,1,0.3993,6485.0751
io.github.subhamtyagi.ocr,Layer1,6981,21012,1541,0,0.2494,1,0.3992,19043.492
com.termux.tasker,Layer1,6249,18829,1410,0,0.2492,1,0.399,13583.6495
de.k3b.android.calef,Layer1,2707,8496,99,0,0.2416,1,0.3892,15005.8779
com.dn0ne.lotus,Layer1,13629,43400,4246,0,0.239,1,0.3858,8648.6781
io.github.teamclouday.AndroidMic,Layer1,5674,18260,2506,0,0.2371,1,0.3833,19102.7086
com.shezik.drawanywhere,Layer1,6334,20491,1967,0,0.2361,1,0.382,12669.6678
org.wbftw.weil.sos,Layer1,6355,20646,1376,0,0.2354,1,0.381,22840.8913
se.arctosoft.vault,Layer1,7072,23614,1400,0,0.2305,1,0.3746,24034.982
org.vinaygopinath.launchchat,Layer1,6517,21847,2105,0,0.2298,1,0.3737,22719.8795
com.rabbittownsoftware.coinvert,Layer1,5670,19021,1748,0,0.2296,1,0.3735,11983.9826
com.sosauce.cutecalc,Layer1,5701,19530,2767,0,0.226,1,0.3686,12787.0342
fr.ryder.benoit.jmdictdroid,Layer1,5627,19290,2089,0,0.2258,1,0.3685,18009.0255
org.y20k.escapepod,Layer1,7468,25621,2457,0,0.2257,1,0.3683,23666.4268
com.dijia1124.plusplusbattery,Layer1,5762,20097,2761,0,0.2228,1,0.3644,8536.6358
su.xash.husky,Layer1,10515,36715,6641,0,0.2226,1,0.3642,24300.191
org.woheller69.ttsengine,Layer1,5949,20964,3819,0,0.221,1,0.3621,23425.2852
com.jherkenhoff.qalculate,Layer1,5666,20077,4696,0,0.2201,1,0.3608,9981.3955
com.phpbg.easysync,Layer1,5905,21085,2167,0,0.2188,1,0.359,11727.5543
com.davidtakac.bura,Layer1,5942,21250,2240,0,0.2185,1,0.3587,8364.5076
com.bily,Layer1,5939,21348,2673,0,0.2176,1,0.3575,7459.4352
com.cliffracertech.soundaura,Layer1,7047,25450,3324,0,0.2169,1,0.3564,7829.2857
page.ooooo.geoshare,Layer1,5902,21368,3153,0,0.2164,1,0.3558,23734.2114
org.nuclearfog.smither,Layer1,7005,25609,1629,0,0.2148,1,0.3536,21455.6057
ch.rmy.android.statusbar,Layer1,5933,21939,2022,0,0.2129,1,0.351,4389.5236
com.exner.tools.fototimer,Layer1,6423,25046,2864,0,0.2041,1,0.339,8996.4413
spam.blocker,Layer1,5720,22308,2524,0,0.2041,1,0.339,24178.8898
com.github.catfriend1.syncthinglite,Layer1,8010,31254,2745,0,0.204,1,0.3389,9523.3869
helium314.keyboard,Layer1,5993,23431,2696,0,0.2037,1,0.3384,18148.0651
de.marmaro.krt.ffupdater,Layer1,6568,25708,2223,0,0.2035,1,0.3382,15462.3953
com.danilkinkin.buckwheat,Layer1,5716,22743,4125,0,0.2009,1,0.3345,8077.4451
com.streamatico.polymarketviewer,Layer1,6198,24802,3041,0,0.1999,1,0.3332,13275.9879
se.nullable.flickboard,Layer1,6015,24600,2569,0,0.1965,1,0.3284,24108.1801
com.example.photoswooper,Layer1,6406,26241,2868,0,0.1962,1,0.3281,8874.6452
org.avmedia.gshockGoogleSync,Layer1,6508,26827,3893,0,0.1952,1,0.3267,20536.5271
de.lukasneugebauer.nextcloudcookbook,Layer1,7624,31729,6579,0,0.1937,1,0.3246,15274.1597
com.utazukin.ichaival,Layer1,7023,29304,2600,0,0.1933,1,0.324,13787.0151
org.fossify.math,Layer1,7909,33081,2663,0,0.1929,1,0.3235,20837.5313
org.app.geotagvideocamera,Layer1,6881,28886,3558,0,0.1924,1,0.3227,20368.012
org.woheller69.gptassist,Layer1,2787,11701,657,0,0.1924,1,0.3227,23135.9543
us.spotco.maps,Layer1,2785,11718,616,0,0.192,1,0.3222,24510.2122
org.nqmgaming.aneko,Layer1,6743,28474,2241,0,0.1915,1,0.3214,21319.2745
dev.leonlatsch.photok,Layer1,8089,34197,3236,0,0.1913,1,0.3212,17541.9192
com.zell,Layer1,6735,28754,2781,0,0.1898,1,0.319,14140.764
org.fossify.calendar,Layer1,8040,35144,3047,0,0.1862,1,0.3139,20747.1561
lying.fengfeng.foodrecords,Layer1,5749,25161,4055,0,0.186,1,0.3136,19419.6222
com.looker.droidify,Layer1,7048,30887,2461,0,0.1858,1,0.3134,10313.687
com.darkrockstudios.app.securecamera,Layer1,6190,27253,4214,0,0.1851,1,0.3124,8298.5111
com.flux,Layer1,6094,26834,3079,0,0.1851,1,0.3123,9158.5701
org.privacymatters.safespace,Layer1,7798,34491,3489,0,0.1844,1,0.3114,21659.9928
com.ztftrue.music,Layer1,7491,33382,3690,0,0.1833,1,0.3098,14237.7555
de.readeckapp,Layer1,6956,31289,2880,0,0.1819,1,0.3078,16653.2079
com.noahjutz.gymroutines,Layer1,6311,28675,3168,0,0.1804,1,0.3056,11484.9154
org.koreader.launcher.fdroid,Layer1,3149,14372,1017,0,0.1797,1,0.3047,21236.4296
org.woheller69.audiometry,Layer1,3150,14578,1182,0,0.1777,1,0.3018,22989.0606
com.fpf.smartscan,Layer1,6474,30175,2362,0,0.1766,1,0.3003,9380.9542
com.seafile.seadroid2,Layer1,10925,50968,7469,0,0.1765,1,0.3001,12525.6355
com.ezpnix.writeon,Layer1,6322,29673,4162,0,0.1756,1,0.2988,9080.1596
org.secuso.privacyfriendlypin,Layer1,3234,15317,904,0,0.1743,1,0.2969,22303.0178
org.application.shikiapp,Layer1,6296,29897,3647,0,0.174,1,0.2964,20456.0558
eu.veldsoft.scribe4,Layer1,57,274,4,0,0.1722,1,0.2938,17700.4299
io.github.pastthepixels.freepaint,Layer1,3562,17127,1685,0,0.1722,1,0.2938,18831.5321
de.dbauer.expensetracker,Layer1,6049,29099,3886,0,0.1721,1,0.2937,14668.6041
com.sosauce.cutemusic,Layer1,7162,35091,4429,0,0.1695,1,0.2899,12884.7008
nightlock.peppercarrot,Layer1,7283,35831,2190,0,0.1689,1,0.289,20228.2529
com.mrsep.musicrecognizer,Layer1,6467,32023,4819,0,0.168,1,0.2877,11283.0802
de.theiling.neatlauncher,Layer1,3376,16896,1639,0,0.1665,1,0.2855,17142.8727
de.k3b.android.intentintercept,Layer1,2942,14737,1681,0,0.1664,1,0.2853,15051.9983
com.kaanelloed.iconeration,Layer1,6587,33079,3182,0,0.1661,1,0.2848,10131.6804
org.sunsetware.phocid,Layer1,7125,35854,5057,0,0.1658,1,0.2844,22592.2169
com.starry.greenstash,Layer1,6716,33903,3965,0,0.1653,1,0.2838,12980.7791
com.sakethh.linkora,Layer1,6124,30920,4484,0,0.1653,1,0.2837,12317.4722
eu.domob.shopt2,Layer1,3315,16740,2556,0,0.1653,1,0.2837,17600.9934
org.woheller69.level,Layer1,2953,15010,1602,0,0.1644,1,0.2824,23182.4211
com.burhanrashid52.photoediting,Layer1,3436,17517,3218,0,0.164,1,0.2818,7528.6393
net.inbox.pager,Layer1,3433,17495,1507,0,0.164,1,0.2818,19909.9757
ua.com.radiokot.photoprism,Layer1,8097,41269,3963,0,0.164,1,0.2818,24471.3558
foss.cnugteren.nlweer,Layer1,3950,20340,1745,0,0.1626,1,0.2797,17813.6682
com.aks,Layer1,6692,34554,3374,0,0.1622,1,0.2792,5092.494
at.bitfire.icsdroid,Layer1,8061,41987,3964,0,0.1611,1,0.2774,3846.1784
ru.stersh.youamp,Layer1,7431,38755,3771,0,0.1609,1,0.2772,23960.8146
com.nemesis.droidcrypt,Layer1,3320,17430,1492,0,0.16,1,0.2759,11402.4274
org.woheller69.gpscockpit,Layer1,3241,17015,1361,0,0.16,1,0.2759,23097.2966
com.sjapps.jsonlist,Layer1,3564,18966,1606,0,0.1582,1,0.2732,12725.7631
org.woheller69.arity,Layer1,3301,17589,1549,0,0.158,1,0.2729,22943.1634
org.koitharu.kotatsu,Layer1,9246,49616,6456,0,0.1571,1,0.2715,21192.293
com.xvzan.simplemoneytracker,Layer1,3618,19466,1593,0,0.1567,1,0.271,14055.8538
com.oF2pks.jquarks,Layer1,3648,19816,3611,0,0.1555,1,0.2691,11596.8585
fr.guillaumevillena.opendnsupdater,Layer1,3516,19111,3563,0,0.1554,1,0.269,17877.6292
dev.anilbeesetti.nextplayer,Layer1,7413,40532,4051,0,0.1546,1,0.2678,17297.5676
org.secuso.privacyfriendlynotes,Layer1,3749,20579,4197,0,0.1541,1,0.2671,22256.9998
com.nunosempere.distributioncalculator,Layer1,2982,16424,2591,0,0.1537,1,0.2664,11535.5004
com.MarcosDiez.shareviahttp,Layer1,3176,17528,2126,0,0.1534,1,0.266,4487.6499
io.simplelogin.android.fdroid,Layer1,3785,20969,3765,0,0.1529,1,0.2653,19281.4966
org.secuso.privacyfriendlydame,Layer1,3573,20122,1582,0,0.1508,1,0.2621,22058.5685
net.alexbarry.calc,Layer1,3424,19335,2280,0,0.1504,1,0.2615,19857.3892
org.secuso.privacyfriendlyintervaltimer,Layer1,3770,21412,1700,0,0.1497,1,0.2604,22185.2236
org.secuso.privacyfriendlycircuittraining,Layer1,4037,23156,1832,0,0.1485,1,0.2585,22001.3833
org.openobservatory.ooniprobe,Layer1,6574,37817,5089,0,0.1481,1,0.258,21563.9771
org.secuso.aktivpause,Layer1,3881,22438,1818,0,0.1475,1,0.257,21881.6328
org.secuso.privacyfriendlysketching,Layer1,3648,21159,1666,0,0.1471,1,0.2564,22362.3882
de.kitshn.android,Layer1,7919,46008,5668,0,0.1468,1,0.2561,15174.7735
com.sweak.qralarm,Layer1,6268,36595,5014,0,0.1462,1,0.2552,13441.5995
de.freewarepoint.whohasmystuff,Layer1,3570,20846,901,0,0.1462,1,0.2551,14975.6002
com.daniebeler.pfpixelix,Layer1,7106,41547,4633,0,0.1461,1,0.2549,8007.3563
org.secuso.privacyfriendlyfinancemanager,Layer1,3834,22619,2103,0,0.1449,1,0.2532,22120.7981
one.zagura.CodeRainWall,Layer1,3098,18460,3064,0,0.1437,1,0.2513,20283.7309
org.woheller69.omweather,Layer1,3825,22968,2170,0,0.1428,1,0.2499,23246.743
ch.ihdg.calendarcolor,Layer1,3360,20934,1184,0,0.1383,1,0.243,4289.2927
io.github.sds100.keymapper,Layer1,7129,47368,5688,0,0.1308,1,0.2314,18975.3174
com.wirelessalien.android.moviedb,Layer1,4418,30132,2706,0,0.1279,1,0.2268,13937.4604
gallery.memories,Layer1,3562,24479,2938,0,0.127,1,0.2254,18076.5216
ademar.textlauncher,Layer1,11,77,0,0,0.125,1,0.2222,0.3272
de.monocles.translator,Layer1,2989,20979,4361,0,0.1247,1,0.2218,16389.5955
com.rabbittownsoftware.convertly,Layer1,3086,22087,1779,0,0.1226,1,0.2184,12044.5421
exe.bbllw8.anemo,Layer1,67,485,26,0,0.1214,1,0.2165,17752.322
com.vipedev.kords,Layer1,3085,22831,2513,0,0.119,1,0.2128,13850.0257
com.cappielloantonio.notquitemy.tempo,Layer1,4758,35976,4346,0,0.1168,1,0.2092,7744.6048
me.velc.devqs,Layer1,11,88,1,0,0.1111,1,0.2,19729.3366
io.github.ronynn.karui,Layer1,7,69,3,0,0.0921,1,0.1687,18831.8301
